RouteId,RouteVarId,StopId,Code,Name,Lat,Lng,Zone,Ward,StopType,Street,Status
10,1,421,QBTH 054,Đại học Hutech,10.801228,106.714856,Quận Bình Thạnh,,Nhà chờ,Điện Biên Phủ,Đang khai thác
10,1,423,QBTH 053,Cây xăng dầu,10.801697,106.712834,Quận Bình Thạnh,,Trụ dừng,Điện Biên Phủ,Đang khai thác
10,1,1873,QBTH 052,Vòng xoay Hàng Xanh,10.80146,106.709969,Quận Bình Thạnh,,Nhà chờ,Điện Biên Phủ,Đang khai thác
10,1,1872,QBTH 051,Đại học Hồng Bàng,10.799747,106.706268,Quận Bình Thạnh,,Nhà chờ,Điện Biên Phủ,Đang khai thác
10,1,1875,QBTH 050,Trạm Điện Nguyễn Cửu Vân,10.796775,106.703247,Quận Bình Thạnh,,Nhà chờ,Điện Biên Phủ,Đang khai thác
10,1,1874,QBTH 049,Cầu Điện Biên Phủ,10.795089,106.701654,Quận Bình Thạnh,Phường 15,Nhà chờ,Điện Biên Phủ,Đang khai thác
10,1,726,Q1 073,Đền Trần Hưng Đạo,10.791369,106.695238,Quận 1,,Trụ dừng,Võ Thị Sáu,Đang khai thác
10,1,2111,Q1 074,Công viên Lê Văn Tám,10.788896,106.692818,Quận 1,,Nhà chờ,Võ Thị Sáu,Đang khai thác
10,1,3176,Q3 100,Phạm Ngọc Thạch,10.786916,106.690918,Quận 3,,Trụ dừng,Võ Thị Sáu,Đang khai thác
10,1,246,Q3 101,Nhà thiếu nhi thành phố,10.785583,106.689613,Quận 3,,Nhà chờ,Võ Thị Sáu,Đang khai thác
10,1,2491,Q3 102,Bảo tàng Phụ Nữ,10.783533,106.687514,Quận 3,,Trụ dừng,Võ Thị Sáu,Đang khai thác
10,1,727,Q3 103,Trần Quốc Thảo,10.782294,106.686242,Quận 3,,Trụ dừng,Võ Thị Sáu,Đang khai thác
10,1,2708,Q3 104,Ngã sáu Dân Chủ,10.778584,106.682616,Quận 3,,Nhà chờ,Võ Thị Sáu,Đang khai thác
10,1,568,Q10 001,Siêu thị Maximark,10.777162,106.680771,Quận 10,,Trụ dừng,Đường 3/2,Đang khai thác
10,1,563,Q10 002,Bệnh viện Bình Dân,10.774785,106.678947,Quận 10,,Trụ dừng,Đường 3/2,Đang khai thác
10,1,95,Q10 003,Học viện Hành chính Quốc gia,10.773457,106.676951,Quận 10,,Nhà chờ,Đường 3/2,Đang khai thác
10,1,94,Q10 004,Học viện Hành chính Quốc gia,10.772661,106.675701,Quận 10,,Nhà chờ,Đường 3/2,Đang khai thác
10,1,97,Q10 005,Nhà hát Hòa Bình,10.771712,106.674202,Quận 10,,Nhà chờ,Đường 3/2,Đang khai thác
10,1,96,Q10 006,Nhà thờ Vinh Sơn,10.770521,106.67215,Quận 10,,Trụ dừng,Đường 3/2,Đang khai thác
10,1,99,Q10 007,Bệnh viện Nhi Đồng 1,10.769578,106.670364,Quận 10,,Trụ dừng,Đường 3/2,Đang khai thác
10,1,564,Q10 075,Học viện Quân y,10.766769,106.667259,Quận 10,,Trụ dừng,Nguyễn Tri Phương,Đang khai thác
10,1,567,Q10 076,Chợ Nhật Tảo,10.764991,106.667664,Quận 10,,Trụ dừng,Nguyễn Tri Phương,Đang khai thác
10,1,570,Q10 077,Trường Hoàng Văn Thụ,10.763371,106.668015,Quận 10,,Trụ dừng,Nguyễn Tri Phương,Đang khai thác
10,1,571,Q10 078,Đại học kinh tế,10.761049,106.668488,Quận 10,,Trụ dừng,Nguyễn Tri Phương,Đang khai thác
10,1,569,Q5 036,Ngô Gia Tự,10.758801,106.668062,Quận 5,,Nhà chờ,Ngô Gia Tự,Đang khai thác
10,1,573,Q5 035,Trung tâm giáo dục thường xuyên,10.757331,106.667016,Quận 5,,Nhà chờ,Ngô Gia Tự,Đang khai thác
10,1,433,Q5 017,Bệnh viện Phạm Ngọc Thạch,10.755897,106.664511,Quận 5,,Nhà chờ,Hồng Bàng,Đang khai thác
10,1,434,Q5 018,Hùng Vương Plaza,10.755196,106.661072,Quận 5,,Nhà chờ,Hồng Bàng,Đang khai thác
10,1,436,Q5 019,Bệnh viện Chợ Rẫy,10.754875,106.659501,Quận 5,,Trụ dừng,Hồng Bàng,Đang khai thác
10,1,397,Q5 013,Rạp Đại Quang,10.752445,106.658792,Quận 5,,Nhà chờ,Châu Văn Liêm,Đang khai thác
10,1,137,Q5 014,Bưu điện Quận 5,10.751381,106.658894,Quận 5,,Ô sơn,Châu Văn Liêm,Đang khai thác
10,1,138,Q5 015,Hải Thượng Lãn Ông,10.750948,106.658358,Quận 5,,Trụ dừng,Hải Thượng Lãn Ông,Đang khai thác
10,1,139,Q5 102,Chợ Kim Biên,10.751128,106.655086,Quận 5,,Trụ dừng,Trang Tử,Đang khai thác
10,1,4773,Q6 052,Cây xăng,10.751112,106.652538,Quận 6,Phường 01,Ô sơn,Lê Quang Sung,Đang khai thác
10,1,1778,Q6 023,Ngân hàng Thương Tín,10.749699,106.648241,Quận 6,,Trụ dừng,Hậu Giang,Đang khai thác
10,1,728,Q6 024,CoopMart ,10.749815,106.643198,Quận 6,,Trụ dừng,Hậu Giang,Đang khai thác
10,1,111,Q6 025,Cầu Hậu Giang,10.749736,106.641503,Quận 6,,Trụ dừng,Hậu Giang,Đang khai thác
10,1,110,Q6 026,Chợ Hoa,10.748714,106.637437,Quận 6,,Trụ dừng,Hậu Giang,Đang khai thác
10,1,113,Q6 027,Nguyễn Văn Luông,10.748039,106.634663,Quận 6,,Trụ dừng,Hậu Giang,Đang khai thác
10,1,112,Q6 028,Bình Phú,10.747697,106.633312,Quận 6,,Biển treo,Hậu Giang,Đang khai thác
10,1,114,Q6 029,Đồng Quê,10.746511,106.628382,Quận 6,,Biển treo,Hậu Giang,Đang khai thác
10,1,115,Q6 030,Mũi Tàu Phú Lâm,10.745536,106.624686,Quận 6,,Trụ dừng,Hậu Giang,Đang khai thác
10,1,117,QBT 011,Vòng xoay Kinh Dương Vương,10.744746,106.622475,Quận Bình Tân,Phường An Lạc,Trụ dừng,Kinh Dương Vương,Đang khai thác
10,1,116,QBT 012,Bến xe Miền Tây,10.741973,106.619096,Quận Bình Tân,Phường An Lạc,Trụ dừng,Kinh Dương Vương,Đang khai thác
10,1,4150,QBT 013,"428, Kinh Dương Vương",10.741383,106.618377,Quận Bình Tân,,Ô sơn,Kinh Dương Vương,Đang khai thác
10,1,725,BX 46,Bến xe Miền Tây,10.739486,106.619438,Quận Bình Tân,,Bến xe,Kinh Dương Vương,Đang khai thác
10,2,725,BX 46,Bến xe Miền Tây,10.739486,106.619438,Quận Bình Tân,,Bến xe,Kinh Dương Vương,Đang khai thác
10,2,4149,QBT 009,Chợ An Lạc ,10.743396,106.62136,Quận Bình Tân,Phường An Lạc,Trụ dừng,Kinh Dương Vương,Đang khai thác
10,2,140,QBT 010,Kinh Dương Vương,10.744919,106.623162,Quận Bình Tân,Phường An Lạc,Trụ dừng,Kinh Dương Vương,Đang khai thác
10,2,141,Q6 031,Mũi Tàu Phú Lâm,10.745362,106.624466,Quận 6,,Biển treo,Hậu Giang,Đang khai thác
10,2,143,Q6 032,Đồng Quê,10.746311,106.628092,Quận 6,,Biển treo,Hậu Giang,Đang khai thác
10,2,145,Q6 033,Bình Phú,10.747623,106.633526,Quận 6,,Biển treo,Hậu Giang,Đang khai thác
10,2,142,Q6 034,Nguyễn Văn Luông,10.74826,106.636192,Quận 6,,Trụ dừng,Hậu Giang,Đang khai thác
10,2,144,Q6 035,Chợ Hoa,10.748756,106.638204,Quận 6,,Trụ dừng,Hậu Giang,Đang khai thác
10,2,729,Q6 036,CoopMart,10.74971,106.64283,Quận 6,,Trụ dừng,Hậu Giang,Đang khai thác
10,2,2390,Q6 037,Ngân hàng Thương Tín,10.749552,106.648101,Quận 6,,Trụ dừng,Hậu Giang,Đang khai thác
10,2,1,Q6 095,Chu Văn An,10.750232,106.652554,Quận 6,,Trụ dừng,Tháp Mười,Đang khai thác
10,2,2393,Q6 096,Tháp Mười,10.750326,106.653036,Quận 6,,Trụ dừng,Tháp Mười,Đang khai thác
10,2,2,Q5 016,Chợ Kim Biên,10.750732,106.655075,Quận 5,,Trụ dừng,Hải Thượng Lãn Ông,Đang khai thác
10,2,3,Q5 011,Bưu điện Quận 5,10.751368,106.659203,Quận 5,,Ô sơn,Châu Văn Liêm,Đang khai thác
10,2,5,Q5 012,Rạp Đại Quang,10.752566,106.658937,Quận 5,,Nhà chờ,Châu Văn Liêm,Đang khai thác
10,2,437,Q5 025,Bệnh viện Chợ Rẫy,10.754553,106.659232,Quận 5,,Trụ dừng,Hồng Bàng,Đang khai thác
10,2,439,Q5 026,Đại học Y Dược,10.75536,106.663191,Quận 5,,Nhà chờ,Hồng Bàng,Đang khai thác
10,2,440,Q5 027,Bệnh viện Đại học Y Dược,10.755671,106.664683,Quận 5,,Nhà chờ,Hồng Bàng,Đang khai thác
10,2,432,Q5 068,Công viên Văn Lang,10.757151,106.669613,Quận 5,,Trụ dừng,Nguyễn Tri Phương,Đang khai thác
10,2,441,Q5 069,Trường Trần Khai Nguyên,10.758706,106.66928,Quận 5,,Ô sơn,Nguyễn Tri Phương,Đang khai thác
10,2,442,Q10 071,Đại học Kinh tế,10.761386,106.668564,Quận 10,,Trụ dừng,Nguyễn Tri Phương,Đang khai thác
10,2,444,Q10 072,Trường Hoàng Văn Thụ,10.763073,106.668213,Quận 10,,Nhà chờ,Nguyễn Tri Phương,Đang khai thác
